"Business, finance and administration occupations","Minimum level of education required, all levels","42,955E","44,895A","40,205A","35,355A","39,385A","39,605A","48,870A","42,455A","47,540A","49,230A","50,715A","53,930A","56,550A","55,880A","58,105A","60,520A","58,725A","60,705A","57,925A","55,820A","61,535A","..","..","60,870A","64,155A","79,360A","92,525A","94,215A","102,715A","107,765A","104,840A","96,835A","88,535A","88,210A","78,910A"
"Business, finance and administration occupations","No minimum level of education required","..","6,385D","4,380B","3,685B","3,060B","4,245B","7,655D","4,545B","5,365D","4,165B","5,840B","7,420B","6,420B","7,905A","7,175B","6,250B","6,470B","6,750B","8,040B","6,480B","6,190B","..","..","9,000C","5,425C","8,405B","11,430C","12,805B","13,170B","16,400B","17,320B","13,615C","11,280B","12,515C","13,090B"
"Business, finance and administration occupations","High school diploma or equivalent","..","13,820A","12,745A","10,065A","11,585B","11,500A","13,600B","13,500A","14,430B","14,390A","16,065A","15,425B","19,265A","16,410A","18,415A","18,140B","17,155A","18,755A","16,765A","17,080B","19,430A","..","..","19,695B","20,560B","24,275B","29,190C","28,675B","29,345B","30,970B","30,265B","29,435B","26,515A","27,405A","24,120A"
"Business, finance and administration occupations","Non-university certificate or diploma","..","13,325A","12,060A","11,895A","14,655B","13,035A","15,490A","13,905A","16,680B","17,860A","15,800A","17,375B","16,665A","17,425A","16,990A","19,235A","17,905A","19,170A","17,265A","17,400A","19,090A","..","..","17,885B","20,680B","24,305B","26,630B","27,665A","32,175B","31,125B","29,845B","27,910B","28,075A","26,895A","22,640A"
"Business, finance and administration occupations","University certificate or diploma below bachelor's level","..","3,405B","3,170B","2,520B","3,080B","3,230B","2,675B","2,950B","3,260B","3,655B","3,535B","3,925B","4,065B","4,115B","4,665B","4,475B","4,355B","4,450B","4,120B","3,565B","4,130B","..","..","4,135C","5,070B","6,885B","7,035C","7,295B","6,935B","7,605B","7,225B","6,225C","6,085B","5,885B","5,205B"
"Business, finance and administration occupations","Bachelor's degree","..","7,215B","6,945B","6,190B","6,385B","6,815A","8,525A","6,770A","7,105A","8,355A","8,920A","9,020B","9,180B","9,530A","10,265A","11,535B","11,850A","10,705A","10,975A","10,715A","11,640A","..","..","9,355B","10,910B","13,645B","15,595B","15,875B","19,000B","19,070B","18,085B","17,635B","15,085A","13,770A","12,390B"
"Business, finance and administration occupations","University certificate, diploma or degree above the bachelor's level","..","750C","910C","1,005D","615D","775C","920C","780C","710C","805C","565C","765D","960C","500D","595C","895D","990D","875C","760C","575D","1,055B","..","..","800D","1,510C","1,840D","2,650D","1,905C","2,090C","2,595C","2,100C","2,010C","1,490C","1,740C","1,465C"
"Natural and applied sciences and related occupations","Minimum level of education required, all levels","26,955E","30,190A","24,570A","23,110A","24,100A","25,800A","27,845A","24,390A","26,835A","30,870A","31,490A","30,945A","34,915A","39,550A","39,390A","40,625A","44,370A","43,280A","38,720A","39,970A","44,670A","..","..","39,465A","48,205A","54,245A","61,075A","66,490A","69,600A","77,920A","66,835A","58,465A","57,130A","51,740A","44,100A"
"Natural and applied sciences and related occupations","No minimum level of education required","..","1,815D","1,675D","1,465D","1,115D","1,335C","725D","925E","1,015D","1,290D","1,120D","1,065C","1,515C","2,675B","1,520C","1,350B","1,810D","1,050C","2,365B","1,715C","1,150D","..","..","980D","2,645D","3,900B","3,135C","3,080C","3,145B","4,695C","3,515C","2,910B","2,445C","2,520C","1,680D"
"Natural and applied sciences and related occupations","High school diploma or equivalent","..","4,210C","2,550C","2,165C","2,960C","2,905C","2,845C","1,765B","1,980C","2,825B","2,760B","2,545B","3,060B","2,770B","2,705B","3,355B","3,825C","3,540B","3,370B","3,205B","3,430B","..","..","3,230B","4,150B","4,465B","5,210B","5,145B","5,690B","4,665B","5,450B","3,930B","6,285B","4,925B","3,315B"
